"com.jerry.spottimett - Android-versio: Aktiiviset laitteet (Yksilöidyt laitteet, Aikaväliä kohti, Päivittäin) ajalta 2019-07-08 - 2020-02-12"
,,Muuttuja,"Aktiiviset laitteet (Yksilöidyt laitteet, Aikaväliä kohti, Päivittäin)",Muistiinpanot
,,Ulottuvuus,Kaikki Android-versiot
2019-07-08 - 2020-02-12,2019-07-23,,118
2019-07-08 - 2020-02-12,2019-07-24,,124
2019-07-08 - 2020-02-12,2019-07-25,,133,Julkaisun käyttöönotto - 2.2 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-07-26,,128
2019-07-08 - 2020-02-12,2019-07-27,,127,Julkaisun käyttöönotto - 2.3 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-07-28,,139,Julkaisun käyttöönotto - 2.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-07-29,,139,Muuttujaa koskeva muutos - Käyttäjään ja laitteeseen perustuvat hankinnan ja menetyksen mittarit päivitettiin tarkemmiksi.
2019-07-08 - 2020-02-12,2019-07-30,,150
2019-07-08 - 2020-02-12,2019-07-31,,157
2019-07-08 - 2020-02-12,2019-08-01,,168,"Julkaisun käyttöönotto - 2.5 otettiin käyttöön käyttöasteella 100%., Julkaisun käyttöönotto - 2.6 otettiin käyttöön käyttöasteella 100%."
2019-07-08 - 2020-02-12,2019-08-02,,170
2019-07-08 - 2020-02-12,2019-08-03,,176
2019-07-08 - 2020-02-12,2019-08-04,,185,Julkaisun käyttöönotto - 2.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-08-05,,199
2019-07-08 - 2020-02-12,2019-08-06,,234
2019-07-08 - 2020-02-12,2019-08-07,,247
2019-07-08 - 2020-02-12,2019-08-08,,247
2019-07-08 - 2020-02-12,2019-08-09,,256,Julkaisun käyttöönotto - 2.8 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-08-10,,264
2019-07-08 - 2020-02-12,2019-08-11,,282,Julkaisun käyttöönotto - 2.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-08-12,,285
2019-07-08 - 2020-02-12,2019-08-13,,294,Julkaisun käyttöönotto - 3.0 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-08-14,,306,Julkaisun käyttöönotto - 3.1 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-08-15,,310
2019-07-08 - 2020-02-12,2019-08-16,,316
2019-07-08 - 2020-02-12,2019-08-17,,320
2019-07-08 - 2020-02-12,2019-08-18,,336
2019-07-08 - 2020-02-12,2019-08-19,,341
2019-07-08 - 2020-02-12,2019-08-20,,337
2019-07-08 - 2020-02-12,2019-08-21,,337
2019-07-08 - 2020-02-12,2019-08-22,,351
2019-07-08 - 2020-02-12,2019-08-23,,346
2019-07-08 - 2020-02-12,2019-08-24,,353,"Julkaisun käyttöönotto - 3.2 otettiin käyttöön käyttöasteella 100%., Julkaisun käyttöönotto - 3.3 otettiin käyttöön käyttöasteella 100%."
2019-07-08 - 2020-02-12,2019-08-25,,363,Julkaisun käyttöönotto - 3.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-08-26,,373
2019-07-08 - 2020-02-12,2019-08-27,,376
2019-07-08 - 2020-02-12,2019-08-28,,380
2019-07-08 - 2020-02-12,2019-08-29,,380
2019-07-08 - 2020-02-12,2019-08-30,,392
2019-07-08 - 2020-02-12,2019-08-31,,416
2019-07-08 - 2020-02-12,2019-09-01,,429
2019-07-08 - 2020-02-12,2019-09-02,,445
2019-07-08 - 2020-02-12,2019-09-03,,447
2019-07-08 - 2020-02-12,2019-09-04,,446
2019-07-08 - 2020-02-12,2019-09-05,,442
2019-07-08 - 2020-02-12,2019-09-06,,450
2019-07-08 - 2020-02-12,2019-09-07,,454
2019-07-08 - 2020-02-12,2019-09-08,,460
2019-07-08 - 2020-02-12,2019-09-09,,459
2019-07-08 - 2020-02-12,2019-09-10,,458
2019-07-08 - 2020-02-12,2019-09-11,,470
2019-07-08 - 2020-02-12,2019-09-12,,469
2019-07-08 - 2020-02-12,2019-09-13,,474
2019-07-08 - 2020-02-12,2019-09-14,,483
2019-07-08 - 2020-02-12,2019-09-15,,466
2019-07-08 - 2020-02-12,2019-09-16,,476
2019-07-08 - 2020-02-12,2019-09-17,,482
2019-07-08 - 2020-02-12,2019-09-18,,486
2019-07-08 - 2020-02-12,2019-09-19,,481
2019-07-08 - 2020-02-12,2019-09-20,,485
2019-07-08 - 2020-02-12,2019-09-21,,486
2019-07-08 - 2020-02-12,2019-09-22,,501
2019-07-08 - 2020-02-12,2019-09-23,,494
2019-07-08 - 2020-02-12,2019-09-24,,505,Julkaisun käyttöönotto - 3.5 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-09-25,,500,Julkaisun käyttöönotto - 3.6 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-09-26,,503
2019-07-08 - 2020-02-12,2019-09-27,,508
2019-07-08 - 2020-02-12,2019-09-28,,508
2019-07-08 - 2020-02-12,2019-09-29,,517
2019-07-08 - 2020-02-12,2019-09-30,,521,Julkaisun käyttöönotto - 3.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-10-01,,523,Julkaisun käyttöönotto - 3.8 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-10-02,,518
2019-07-08 - 2020-02-12,2019-10-03,,511
2019-07-08 - 2020-02-12,2019-10-04,,505
2019-07-08 - 2020-02-12,2019-10-05,,515
2019-07-08 - 2020-02-12,2019-10-06,,509
2019-07-08 - 2020-02-12,2019-10-07,,521
2019-07-08 - 2020-02-12,2019-10-08,,507
2019-07-08 - 2020-02-12,2019-10-09,,523
2019-07-08 - 2020-02-12,2019-10-10,,507
2019-07-08 - 2020-02-12,2019-10-11,,503
2019-07-08 - 2020-02-12,2019-10-12,,518
2019-07-08 - 2020-02-12,2019-10-13,,507
2019-07-08 - 2020-02-12,2019-10-14,,496
2019-07-08 - 2020-02-12,2019-10-15,,502
2019-07-08 - 2020-02-12,2019-10-16,,513
2019-07-08 - 2020-02-12,2019-10-17,,517
2019-07-08 - 2020-02-12,2019-10-18,,515
2019-07-08 - 2020-02-12,2019-10-19,,515
2019-07-08 - 2020-02-12,2019-10-20,,517
2019-07-08 - 2020-02-12,2019-10-21,,503
2019-07-08 - 2020-02-12,2019-10-22,,510
2019-07-08 - 2020-02-12,2019-10-23,,508
2019-07-08 - 2020-02-12,2019-10-24,,515
2019-07-08 - 2020-02-12,2019-10-25,,520
2019-07-08 - 2020-02-12,2019-10-26,,512
2019-07-08 - 2020-02-12,2019-10-27,,518
2019-07-08 - 2020-02-12,2019-10-28,,511
2019-07-08 - 2020-02-12,2019-10-29,,507
2019-07-08 - 2020-02-12,2019-10-30,,516
2019-07-08 - 2020-02-12,2019-10-31,,510
2019-07-08 - 2020-02-12,2019-11-01,,509
2019-07-08 - 2020-02-12,2019-11-02,,501
2019-07-08 - 2020-02-12,2019-11-03,,505
2019-07-08 - 2020-02-12,2019-11-04,,516
2019-07-08 - 2020-02-12,2019-11-05,,514
2019-07-08 - 2020-02-12,2019-11-06,,503
2019-07-08 - 2020-02-12,2019-11-07,,501
2019-07-08 - 2020-02-12,2019-11-08,,511
2019-07-08 - 2020-02-12,2019-11-09,,493
2019-07-08 - 2020-02-12,2019-11-10,,502,Julkaisun käyttöönotto - 3.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-11-11,,500
2019-07-08 - 2020-02-12,2019-11-12,,501
2019-07-08 - 2020-02-12,2019-11-13,,500
2019-07-08 - 2020-02-12,2019-11-14,,508
2019-07-08 - 2020-02-12,2019-11-15,,493
2019-07-08 - 2020-02-12,2019-11-16,,489,Julkaisun käyttöönotto - 4.1 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-11-17,,489
2019-07-08 - 2020-02-12,2019-11-18,,487,Julkaisun käyttöönotto - 4.2 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-11-19,,482
2019-07-08 - 2020-02-12,2019-11-20,,494
2019-07-08 - 2020-02-12,2019-11-21,,478
2019-07-08 - 2020-02-12,2019-11-22,,483
2019-07-08 - 2020-02-12,2019-11-23,,495
2019-07-08 - 2020-02-12,2019-11-24,,483
2019-07-08 - 2020-02-12,2019-11-25,,486
2019-07-08 - 2020-02-12,2019-11-26,,482
2019-07-08 - 2020-02-12,2019-11-27,,480
2019-07-08 - 2020-02-12,2019-11-28,,482
2019-07-08 - 2020-02-12,2019-11-29,,476
2019-07-08 - 2020-02-12,2019-11-30,,483
2019-07-08 - 2020-02-12,2019-12-01,,465
2019-07-08 - 2020-02-12,2019-12-02,,484
2019-07-08 - 2020-02-12,2019-12-03,,474
2019-07-08 - 2020-02-12,2019-12-04,,468,Julkaisun käyttöönotto - 4.3 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-12-05,,476
2019-07-08 - 2020-02-12,2019-12-06,,477
2019-07-08 - 2020-02-12,2019-12-07,,470,Julkaisun käyttöönotto - 4.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-12-08,,471,"Julkaisun käyttöönotto - 4.5 otettiin käyttöön käyttöasteella 100%., Julkaisun käyttöönotto - 4.6 otettiin käyttöön käyttöasteella 100%."
2019-07-08 - 2020-02-12,2019-12-09,,468
2019-07-08 - 2020-02-12,2019-12-10,,465
2019-07-08 - 2020-02-12,2019-12-11,,469,Julkaisun käyttöönotto - 4.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-12-12,,462
2019-07-08 - 2020-02-12,2019-12-13,,461
2019-07-08 - 2020-02-12,2019-12-14,,461,Julkaisun käyttöönotto - 4.8 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-12-15,,460
2019-07-08 - 2020-02-12,2019-12-16,,464
2019-07-08 - 2020-02-12,2019-12-17,,455,Julkaisun käyttöönotto - 4.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-12-18,,468
2019-07-08 - 2020-02-12,2019-12-19,,461
2019-07-08 - 2020-02-12,2019-12-20,,447
2019-07-08 - 2020-02-12,2019-12-21,,459
2019-07-08 - 2020-02-12,2019-12-22,,448
2019-07-08 - 2020-02-12,2019-12-23,,453
2019-07-08 - 2020-02-12,2019-12-24,,465
2019-07-08 - 2020-02-12,2019-12-25,,458
2019-07-08 - 2020-02-12,2019-12-26,,453
2019-07-08 - 2020-02-12,2019-12-27,,450
2019-07-08 - 2020-02-12,2019-12-28,,448
2019-07-08 - 2020-02-12,2019-12-29,,448
2019-07-08 - 2020-02-12,2019-12-30,,442,Julkaisun käyttöönotto - 5.0 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2019-12-31,,451
2019-07-08 - 2020-02-12,2020-01-01,,433
2019-07-08 - 2020-02-12,2020-01-02,,435
2019-07-08 - 2020-02-12,2020-01-03,,430,Julkaisun käyttöönotto - 5.2 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2020-01-04,,427
2019-07-08 - 2020-02-12,2020-01-05,,432
2019-07-08 - 2020-02-12,2020-01-06,,437
2019-07-08 - 2020-02-12,2020-01-07,,434
2019-07-08 - 2020-02-12,2020-01-08,,435
2019-07-08 - 2020-02-12,2020-01-09,,443
2019-07-08 - 2020-02-12,2020-01-10,,432
2019-07-08 - 2020-02-12,2020-01-11,,436
2019-07-08 - 2020-02-12,2020-01-12,,435
2019-07-08 - 2020-02-12,2020-01-13,,432
2019-07-08 - 2020-02-12,2020-01-14,,435
2019-07-08 - 2020-02-12,2020-01-15,,424
2019-07-08 - 2020-02-12,2020-01-16,,427
2019-07-08 - 2020-02-12,2020-01-17,,433,Julkaisun käyttöönotto - 5.3 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2020-01-18,,428
2019-07-08 - 2020-02-12,2020-01-19,,424,Julkaisun käyttöönotto - 5.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2020-01-20,,432
2019-07-08 - 2020-02-12,2020-01-21,,435
2019-07-08 - 2020-02-12,2020-01-22,,430
2019-07-08 - 2020-02-12,2020-01-23,,431,Julkaisun käyttöönotto - 5.5 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2020-01-24,,424
2019-07-08 - 2020-02-12,2020-01-25,,434
2019-07-08 - 2020-02-12,2020-01-26,,435
2019-07-08 - 2020-02-12,2020-01-27,,439
2019-07-08 - 2020-02-12,2020-01-28,,437
2019-07-08 - 2020-02-12,2020-01-29,,428
2019-07-08 - 2020-02-12,2020-01-30,,432,Julkaisun käyttöönotto - 5.6 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-02-12,2020-01-31,,426
2019-07-08 - 2020-02-12,2020-02-01,,424
2019-07-08 - 2020-02-12,2020-02-02,,425
2019-07-08 - 2020-02-12,2020-02-03,,429
2019-07-08 - 2020-02-12,2020-02-04,,431
2019-07-08 - 2020-02-12,2020-02-05,,431
2019-07-08 - 2020-02-12,2020-02-06,,425
2019-07-08 - 2020-02-12,2020-02-07,,430
2019-07-08 - 2020-02-12,2020-02-08,,424
2019-07-08 - 2020-02-12,2020-02-09,,431
2019-07-08 - 2020-02-12,2020-02-10,,436
2019-07-08 - 2020-02-12,2020-02-11,,-
2019-07-08 - 2020-02-12,2020-02-12,,-
